#Miscellaneous
WORD_AND;ja
QUIZ.NEW.INVALID_QUESTION_COUNT;Visalla pitää olla 1-50 kysymystä.

#quiz.join
QUIZ.JOIN.SHORTDESC;Liity visaan.
QUIZ.JOIN.ALREADY_JOINED;Olet jo osallistumassa visaan.
QUIZ.JOIN.COMPLETED;Olet liittynyt visaan. Osallistujat:```{participants}```

#quiz.q
QUIZ.Q.SHORTDESC;Näytä viimeisin kysymys.

#quiz.start
QUIZ.START.SHORTDESC;Aloita visa.
QUIZ.START.NOT_ENOUGH_PLAYERS;Visan aloittamiseen tarvitaan ainakin {min_players} pelaajaa.

#rpg
RPG.SHORTDESC;RPG-related commands.
RPG.BATTLE_STARTED;Jouduit taisteluun! Vastustaja: **{opponent}**.
RPG.HP_TEXT;HP: {current}/{maximum}
RPG.CHARACTER_ACTION;**{name}** käytti toimintoa **{action}**
RPG.POS_HP_CHANGE;**{name}** sai {hp} HP:ta
RPG.NEG_HP_CHANGE;**{name}** menetti {hp} HP:ta
RPG.BATTLE_ROUND_ACTION;Valitse toimintosi.

#rpg.action
RPG.ACTION.SHORTDESC;Valitse toimintosi tämän kierroksen aikana.
RPG.ACTION.INVALID;`{action}` ei ole käypä toiminto.

#rpg.delall
RPG.DELALL.SHORTDESC;Poistaa kaikki olemassa olevat RPG-hahmot.
RPG.DELALL.DONE;Hahmot poistettu.

#rpg.duel
RPG.DUEL.SHORTDESC;Taistelumekaniikan testausta varten.
RPG.DUEL.ARGUMENTS;[vastustajan nimi]

#rpg.new
RPG.NEW.SHORTDESC;Luo uusi Puella Magi -hahmo.
RPG.NEW.GIVE_NAME;Mikä on hahmosi nimi?
RPG.NEW.CHARACTER_CREATED;Hahmo on luotu!

#rpg.set_stance
RPG.SET_STANCE.SHORTDESC;Päätä lähestymisesi tähän kierrokseen.
RPG.SET_STANCE.INVALID;`{stance}` ei ole kelvollinen lähestyminen.

#settings
SETTINGS.SHORTDESC;Pitää sisällään konfiguraatiokomentoja.

#settings.channel
SETTINGS.CHANNEL.SHORTDESC;Kanavaan liittyvät konfiguraatiokomennot.

#settings.channel.language
SETTINGS.CHANNEL.LANGUAGE.SHORTDESC;Vaihda tai resetoi kanavan kieli.

#settings.channel.language.change
SETTINGS.CHANNEL.LANGUAGE.CHANGE.SHORTDESC;Vaihda kanavan kieli.
SETTINGS.CHANNEL.LANGUAGE.CHANGE.ARGUMENTS;[kieli]
SETTINGS.CHANNEL.LANGUAGE.CHANGE.CHANGED;Kanavan kieli vaihdettu.

#settings.channel.language.clear
SETTINGS.CHANNEL.LANGUAGE.CLEAR.SHORTDESC;Resetoi kanavan kieli.
SETTINGS.CHANNEL.LANGUAGE.CLEAR.RESET;Kanavan kieli resetoitu.

#settings.channel.permissions
SETTINGS.CHANNEL.PERMISSIONS.SHORTDESC;Hallinnoi kanavan komentolupia.

#settings.channel.permissions.clear
SETTINGS.CHANNEL.PERMISSIONS.CLEAR.SHORTDESC;Resetoi kaikki valittujen komentojen oikeudet.
SETTINGS.CHANNEL.PERMISSIONS.CLEAR.ARGUMENTS;[komentojen nimet]

#settings.channel.permissions.deny
SETTINGS.CHANNEL.PERMISSIONS.DENY.SHORTDESC;Estä käyttäjää/roolia käyttämästä tiettyä komentoa.
SETTINGS.CHANNEL.PERMISSIONS.DENY.ARGUMENTS;[komentojen nimet] [käyttäjä/roolitägit]

#settings.channel.permissions.give
SETTINGS.CHANNEL.PERMISSIONS.GIVE.SHORTDESC;Anna käyttäjälle/roolille/oikeudelle lupa käyttää tiettyä komentoa.
SETTINGS.CHANNEL.PERMISSIONS.GIVE.ARGUMENTS;[komentojen nimet] [käyttäjä- tai roolitägit/oikeuden nimet]

#settings.channel.permissions.undo
SETTINGS.CHANNEL.PERMISSIONS.UNDO.SHORTDESC;Pyyhi käyttäjä/rooli/oikeus annetuista komentoluvista.
SETTINGS.CHANNEL.PERMISSIONS.UNDO.ARGUMENTS;[komentojen nimet] [käyttäjä- tai roolitägit/oikeuden nimet]

#settings.channel.sync
SETTINGS.CHANNEL.SYNC.SHORTDESC;Hallinnoi kanavan synkronisaatioasetuksia.

#settings.channel.sync.add
SETTINGS.CHANNEL.SYNC.ADD.SHORTDESC;Synkronoi toisen kanavan tai kanavien kanssa.
SETTINGS.CHANNEL.SYNC.ADD.ARGUMENTS;[kanavatägit]
NO_PERMISSION_TO_SYNC_CHANNEL;Sinulla ei ole tarvittavia lupia synkronoimaan kanavaa `{name}`.
CHANNELS_SYNCED;Seuraavat kanavat on synkronoitu tämän kanavan kanssa:{channel_synclist}

#settings.channel.sync.del
SETTINGS.CHANNEL.SYNC.DEL.SHORTDESC;Poista olemassaoleva synkronisaatio.
CHANNEL_SYNCS_REMOVED;Synkronisaatiot poistettu.

#settings.channel.sync.view
SETTINGS.CHANNEL.SYNC.VIEW.SHORTDESC;Näyttää serverin kanavilla olevat synkronoinnit.
ALL_CHANNEL_SYNCS;Synkronoidut kanavat:{channel_synclist}
NO_CHANNEL_SYNCS;Mitään kanavia ei ole synkronoitu.

#settings.server
SETTINGS.SERVER.SHORTDESC;Serveriin liittyvät konfiguraatiokomennot.

#settings.server.language
SETTINGS.SERVER.LANGUAGE.SHORTDESC;Vaihda tai resetoi serverin kieli.

#settings.server.language.change
SETTINGS.SERVER.LANGUAGE.CHANGE.SHORTDESC;Vaihda serverin kieli.
SETTINGS.SERVER.LANGUAGE.CHANGE.ARGUMENTS;[kieli]
SETTINGS.SERVER.LANGUAGE.CHANGE.CHANGED;Serverin kieli vaihdettu.

#settings.server.language.clear
SETTINGS.SERVER.LANGUAGE.CLEAR.SHORTDESC;Resetoi serverin kieli.
SETTINGS.SERVER.LANGUAGE.CLEAR.RESET;Serverin kieli resetoitu.

#settings.server.permissions
SETTINGS.SERVER.PERMISSIONS.SHORTDESC;Hallinnoi serverin komentolupia.

#settings.server.permissions.clear
SETTINGS.SERVER.PERMISSIONS.CLEAR.SHORTDESC;Resetoi kaikki valittujen komentojen oikeudet.
SETTINGS.SERVER.PERMISSIONS.CLEAR.ARGUMENTS;[komentojen nimet]

#settings.server.permissions.deny
SETTINGS.SERVER.PERMISSIONS.DENY.SHORTDESC;Estä käyttäjää/roolia käyttämästä tiettyä komentoa.
SETTINGS.SERVER.PERMISSIONS.DENY.ARGUMENTS;[komentojen nimet] [käyttä/roolitägit]

#settings.server.permissions.give
SETTINGS.SERVER.PERMISSIONS.GIVE.SHORTDESC;Anna käyttäjälle/roolille/oikeudelle lupa käyttää tiettyä komentoa.
SETTINGS.SERVER.PERMISSIONS.GIVE.ARGUMENTS;[komentojen nimet] [käyttäjä- tai roolitägit/oikeuden nimet]

#settings.server.permissions.undo
SETTINGS.SERVER.PERMISSIONS.UNDO.SHORTDESC;Pyyhi käyttäjä/rooli/oikeus annetuista komentoluvista.
SETTINGS.SERVER.PERMISSIONS.UNDO.ARGUMENTS;[komentojen nimet] [käyttäjä- tai roolitägit/oikeuden nimet]

#settings.user
SETTINGS.USER.SHORTDESC;Käyttäjään liittyvät konfiguraatiokomennot.

#settings.user.language
SETTINGS.USER.LANGUAGE.SHORTDESC;Vaihda tai resetoi käyttäjän kieli.

#settings.user.language.change
SETTINGS.USER.LANGUAGE.CHANGE.SHORTDESC;Vaihda käyttäjän kieli.
SETTINGS.USER.LANGUAGE.CHANGE.ARGUMENTS;[kieli]
SETTINGS.USER.LANGUAGE.CHANGE.CHANGED;Kieli muutettu!

#settings.user.language.clear
SETTINGS.USER.LANGUAGE.CLEAR.SHORTDESC;Resetoi käyttäjän kieli.
SETTINGS.USER.LANGUAGE.CLEAR.RESET;Kieli on resetoitu.

#test
TEST.SHORTDESC;Testikomento.
TEST.MESSAGE;Moshimoshi, Mami desu.

#Languages
INVALID_LANGUAGE_NAME;Kieltä `{language}` ei ole olemassa. Valittavissa olevat kielet:\n{languages}
LANGUAGE.ENGLISH;englanti
LANGUAGE.FINNISH;suomi

#Generic permission-related
SERVER_ONLY_COMMAND;Tämä komento toimii vain servereillä.
OWNER_ONLY_COMMAND;Vain botin omistajat voivat käyttää tätä komentoa. Jos olet ladannut botin lähdekoodin GitHubista, mene botin pääkansiossa tiedostoon `staticData\basic.csv` ja vaihda `OWNER_ID` -kohtaan käyttäjä-ID:si.
PERMISSION.USERS_ALLOWED;Komento on sallittu seuraaville käyttäjille:
PERMISSION.USERS_BLOCKED;Komento on kielletty seuraavilta käyttäjiltä:
PERMISSION.ROLES_ALLOWED;Komento on sallittu seuraaville rooleille:
PERMISSION.ROLES_BLOCKED;Komento on kielletty seuraavilta rooleilta:
PERMISSION.PERMISSIONS_ALLOWED;Komento on sallittu seuraavat oikeudet omaaville käyttäjille:
NO_PERMISSIONS;Ei komentolupia.
OVERRIDDEN_CHANNELS;Yliajetut kanavat
USE_DENIED;Sinulla ei ole lupaa käyttää komentoa `{command}`
INFO.PERMISSIONS.NO_PERMISSIONS_ON_SERVER;Serverillä ei ole kustomoituja komentolupia.
PERMISSIONS_CLEARED;Komentoluvat tyhjennetty.
NO_ROLE_USER_PERMISSION_TAGS;Kirjoitit vain komentojen nimiä, mutta sinun täytyy myös kertoa ketä lupamuutokset koskevat (käyttäjä/roolitägeillä tai oikeuksien nimillä).
INVALID_ROLE_USER_ID;`{argument}` ei ole käyttäjä/roolitägi, ID-viitaus, eikä oikeuden nimi. Tarkoititko `u{argument}` tai `r{argument}`?
INVALID_ROLE_USER_PERMISSION;`{argument}` ei ole käyttäjä/roolitägi, ID-viitaus, eikä oikeuden nimi.
